Dress Type,Dress Color,Dress Fabric/Texture,Shoes Type,Shoes Color,Upper Layer,Upper Layer Color,feedback_type
Kurta-Pajama,Pale Yellow,Georgette,Chelsea-boots,Soft Beige,long-coat,brown,accepted
Jubbahs,Golden,Georgette,Brogues,Rust,NAN,brown,accepted
